[43, 43, 42, 12, 12, 11, 11, 11, 11, 2, 1, 1, 1, 123]
[43, 42, 12, 12, 11, 11, 11, 11, 2, 1, 1, 1, 43, 123]
[42, 12, 12, 11, 11, 11, 11, 2, 1, 1, 1, 43, 43, 123]
[12, 12, 11, 11, 11, 11, 2, 1, 1, 1, 42, 43, 43, 123]
[12, 11, 11, 11, 11, 2, 1, 1, 1, 12, 42, 43, 43, 123]
[11, 11, 11, 11, 2, 1, 1, 1, 12, 12, 42, 43, 43, 123]
[11, 11, 11, 2, 1, 1, 1, 11, 12, 12, 42, 43, 43, 123]
[11, 11, 2, 1, 1, 1, 11, 11, 12, 12, 42, 43, 43, 123]
[11, 2, 1, 1, 1, 11, 11, 11, 12, 12, 42, 43, 43, 123]
[2, 1, 1, 1, 11, 11, 11, 11, 12, 12, 42, 43, 43, 123]
[1, 1, 1, 2, 11, 11, 11, 11, 12, 12, 42, 43, 43, 123]
[1, 1, 1, 2, 11, 11, 11, 11, 12, 12, 42, 43, 43, 123]
